developer,genre,type,rating
Valve Software,"['Action', 'First-Person', 'Shooter', 'Arcade']",singleplayer,NaN
Larian Studios Games,"['Action RPG', 'Role-Playing', 'Western-Style']",multiplayer,NaN
Epic Games,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",multiplayer,M
SCE Santa Monica,"['Action Adventure', 'Fantasy']",singleplayer,M
Nintendo,"['Platformer', '3D', 'Action']",singleplayer,E
Blizzard Entertainment,"['Strategy', 'Real-Time', 'Sci-Fi', 'Command']",multiplayer,T
Mojang AB,"['Action Adventure', 'Adventure', '3D', 'Sandbox', 'First-Person', 'Fantasy']",multiplayer,NaN
Atlus,"['Role-Playing', 'Console-style RPG', 'Japanese-Style']",multiplayer,M
Atlus,"['Role-Playing', 'Japanese-Style']",singleplayer,M
Raster,"['Action', 'Shooter', 'First-Person', 'Sci-Fi']",NaN,M
Relic,"['Strategy', 'Real-Time', 'Sci-Fi', 'General', 'Command']",multiplayer,E
Epic Games,"['Action', 'Shooter', 'Third-Person', 'Sci-Fi', 'Arcade']",multiplayer,M
KCET,"['Sports', 'Traditional', 'Soccer', 'Sim']",multiplayer,E
Overworks,"['Role-Playing', 'Console-style RPG']",NaN,T
Nintendo,"['Fantasy', 'General', 'Action Adventure', 'Open-World']",singleplayer,E10+
Intelligent Systems,"['Driving', 'Racing', 'Kart']",multiplayer,E
Melbourne House,"['Driving', 'Racing', 'GT / Street']",NaN,E
Visual Concepts,"['Sports', 'Traditional', 'Basketball', 'Sim']",NaN,E
Sega,"['Action', 'Fighting', '3D']",multiplayer,T
Naughty Dog,"['General', 'Modern', 'Action Adventure', 'Linear']",multiplayer,T
Nintendo,"['Action', 'Fighting', '2D']",multiplayer,E10+
Intelligent Systems,"['Role-Playing', 'Console-style RPG']",NaN,E
Psygnosis,"['Driving', 'Racing', 'Futuristic']",multiplayer,NaN
Blizzard Entertainment,"['Role-Playing', 'Massively Multiplayer Online', 'Massively Multiplayer', 'Fantasy']",multiplayer,T
Nintendo,"['Miscellaneous', 'General', 'Application']",NaN,NaN
SCE Santa Monica,"['Action Adventure', 'Fantasy', 'Linear']",singleplayer,M
EA Sports,"['Sports', 'Traditional', 'Ice Hockey', 'Sim']",multiplayer,E
Naughty Dog,"['Action Adventure', 'Modern', 'Linear']",multiplayer,T
From Software,"['Fantasy', 'Role-Playing', 'Action Adventure', 'General', 'Action RPG']",multiplayer,M
Silicon Knights,"['Action Adventure', 'Horror']",singleplayer,M
Blizzard Entertainment,"['Strategy', 'Real-Time', 'Fantasy', 'General']",NaN,T
Firaxis Games,"['Strategy', 'Real-Time', 'Wargame', 'General']",multiplayer,K-A
Microsoft Game Studios,"['Driving', 'Racing', 'GT / Street']",multiplayer,E
Intelligent Systems,"['Strategy', 'Turn-Based', 'Modern']",multiplayer,E
SquareSoft,"['Role-Playing', 'Action RPG']",singleplayer,T
Valve Software,"['Action', 'Shooter', 'First-Person', 'Modern', 'Tactical']",multiplayer,M
Looking Glass Studios,"['Action Adventure', 'Sci-Fi', 'Survival']",singleplayer,M
Square Enix,"['Role-Playing', 'Console-style RPG']",singleplayer,T
Nintendo,"['Action', 'Platformer', '2D']",NaN,E
HAL Labs,"['Action', 'Fighting', '3D']",multiplayer,T
Creative Assembly,"['Strategy', 'Real-Time', 'Historic', 'General']",singleplayer,T
Turn 10,"['Driving', 'Racing', 'Simulation', 'GT / Street', 'Automobile']",multiplayer,E
Nintendo,"['Action', 'Platformer', '3D']",singleplayer,E
Neversoft Entertainment,"['Sports', 'Alternative', 'Skateboarding']",multiplayer,T
Looking Glass Studios,"['Action Adventure', 'Fantasy', 'General']",singleplayer,M
Intelligent Systems,"['Strategy', 'Turn-Based', 'Fantasy', 'Tactics']",singleplayer,T
Ensemble Studios,"['Strategy', 'Real-Time', 'Historic', 'Command']",multiplayer,T
SquareSoft,"['Role-Playing', 'Console-style RPG']",singleplayer,T
Epic Games,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",multiplayer,M
Firaxis Games,"['Strategy', 'Turn-Based', 'Sci-Fi', '4X']",NaN,E
Nintendo,"['Driving', 'Racing', 'Snow / Water']",multiplayer,E
Stardock,"['Strategy', 'Turn-Based', 'Sci-Fi', '4X']",singleplayer,NaN
Bandai Namco Games,"['Action', 'Fighting', '3D', '2D']",multiplayer,E10+
TOSE,"['Role-Playing', 'Console-style RPG', 'Japanese-Style']",singleplayer,E10+
Monolith Soft,"['Role-Playing', 'Action RPG', 'Console-style RPG']",singleplayer,T
Rare Ltd.,"['Action', 'Platformer', '3D']",NaN,M
Nintendo,"['Other', 'Racing', 'Arcade', 'Automobile']",multiplayer,E
Bluepoint Games,"['Miscellaneous', 'Action Adventure', 'Fantasy', 'Compilation']",singleplayer,T
Retro Studios,"['Action', 'Shooter', 'First-Person', 'Sci-Fi']",multiplayer,T
Out Of The Park Developments,"['Sports', 'Baseball', 'Sim', 'Team']",NaN,NaN
Nintendo,"['Action Adventure', 'Sci-Fi']",singleplayer,E
TOSE,"['Role-Playing', 'Console-style RPG']",multiplayer,E10+
Arkane Studios,"['Action Adventure', 'Modern', 'General']",singleplayer,M
2015,"['Action', 'Shooter', 'First-Person', 'Historic', 'Arcade']",NaN,T
Bungie Software,"['Strategy', 'Real-Time', 'Fantasy', 'General']",multiplayer,M
Media Molecule,"['Action', 'Platformer', '3D', '2D']",multiplayer,E
Double Fine Productions,"['Action', 'Platformer', '3D', ""Beat-'Em-Up"", 'Action Adventure', 'Open-World']",NaN,T
Harmonix Music Systems,"['Miscellaneous', 'Rhythm', 'Music']",multiplayer,T
Blizzard Entertainment,"['Role-Playing', 'Massively Multiplayer Online', 'Massively Multiplayer', 'Fantasy']",multiplayer,T
Retro Studios,"['Action', 'Miscellaneous', 'Shooter', 'Compilation', 'First-Person', 'Sci-Fi']",singleplayer,T
Electronic Arts,"['Driving', 'Racing', 'Simulation', 'Formula One', 'Automobile']",multiplayer,E
BioWare,"['Role-Playing', 'PC-style RPG', 'Western-Style']",multiplayer,T
Namco,"['Action', 'Platformer', '3D']",singleplayer,E
1C,"['Simulation', 'Flight', 'WWII', 'Combat']",multiplayer,T
Camelot Software Planning,"['Sports', 'Traditional', 'Tennis']",NaN,E
Volition Inc.,"['Simulation', 'Sci-Fi', 'Space', 'Small Spaceship', 'Combat']",multiplayer,E
Psygnosis,"['Simulation', 'Sci-Fi', 'Small Spaceship']",singleplayer,E
Insomniac Games,"['Action', 'Platformer', '3D']",multiplayer,T
Capcom,"['Action Adventure', 'Horror']",singleplayer,M
KCEJ,"['Action Adventure', 'Modern']",singleplayer,M
Incognito Inc.,"['Driving', 'Car Combat']",multiplayer,M
Insomniac Games,"['Action', 'Platformer', '3D']",singleplayer,E
Core Design Ltd.,"['Action Adventure', 'Modern']",singleplayer,T
Wube Software LTD.,"['Strategy', 'Management', 'Business / Tycoon']",multiplayer,NaN
Capcom,"['Action Adventure', 'Horror', 'Survival']",singleplayer,M
PopCap,"['Miscellaneous', 'Puzzle', 'Action']",NaN,E
Nintendo,"['Action Adventure', 'Fantasy']",singleplayer,E
Sega,"['Action', 'Platformer', '2D']",multiplayer,E
Cardboard Computer,"['Adventure', 'General']",NaN,NaN
Crytek,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",singleplayer,M
Team Ninja,"['Action Adventure', 'Fantasy']",singleplayer,M
Ready at Dawn,"['Action Adventure', 'Fantasy', 'Linear']",singleplayer,M
Team Ninja,"['Action', 'Fighting', '3D']",multiplayer,T
Blizzard Entertainment,"['Role-Playing', 'Massively Multiplayer Online', 'Massively Multiplayer', 'Fantasy']",multiplayer,T
Nintendo,"['Action', 'Platformer', '2D']",multiplayer,E
Funcom,"['Adventure', 'Third-Person', 'Point-and-Click', 'Fantasy']",singleplayer,M
LucasArts,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",multiplayer,T
Bungie,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",multiplayer,M
Stardock,"['Strategy', 'Turn-Based', 'Sci-Fi', '4X']",singleplayer,NaN
BioWare,"['Role-Playing', 'Action RPG', 'Console-style RPG', 'Japanese-Style', 'Western-Style']",singleplayer,M
Paradox Interactive,"['Strategy', 'Real-Time', 'General']",multiplayer,M
Turn 10,"['Driving', 'Racing', 'Simulation', 'GT / Street', 'Automobile']",multiplayer,E
Digital Illusions,"['Action', 'Shooter', 'First-Person', 'Tactical', 'Modern']",multiplayer,T
Black Isle Studios,"['Role-Playing', 'General', 'PC-style RPG', 'Western-Style']",singleplayer,T
Epic Games,"['Action', 'Shooter', 'Third-Person', 'Sci-Fi', 'Arcade']",multiplayer,M
Guerrilla,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",multiplayer,M
BioWare,"['Role-Playing', 'PC-style RPG', 'Western-Style']",multiplayer,T
KCET,"['Action', 'Platformer', '2D']",multiplayer,T
Monolith Productions,"['Action', 'Action Adventure', 'Shooter', 'General', 'First-Person', 'Modern', 'Arcade']",NaN,M
Crystal Dynamics,"['Action Adventure', 'Horror']",singleplayer,T
BioWare,"['Role-Playing', 'PC-style RPG', 'Western-Style']",singleplayer,M
Camelot Software Planning,"['Role-Playing', 'Console-style RPG']",multiplayer,E
ZA/UM,"['Role-Playing', 'General']",singleplayer,NaN
Image & Form,"['Strategy', 'Turn-Based', 'General']",singleplayer,E10+
Nintendo,"['Action RPG', 'Role-Playing', 'Action Adventure', 'General', 'Open-World']",singleplayer,E
PlatinumGames,"['Role-Playing', 'Action RPG']",singleplayer,M
KCEK,"['Action', 'Platformer', '2D']",singleplayer,T
Yacht Club Games,"['Action', 'Platformer', '2D']",singleplayer,E
Bluepoint Games,"['General', 'Miscellaneous']",singleplayer,E
Nintendo,"['Driving', 'Racing', 'Arcade', 'Kart', 'Automobile']",singleplayer,E
Infinity Ward,"['Action', 'Shooter', 'First-Person', 'Third-Person', 'Historic', 'Tactical', 'Arcade']",multiplayer,T
Camelot Software Planning,"['Sports', 'Traditional', 'Golf', 'Arcade']",multiplayer,E
Naughty Dog,"['Action', 'Platformer', '3D']",singleplayer,E
Bizarre Creations,"['Driving', 'Racing', 'GT / Street']",multiplayer,E
Nintendo,"['Simulation', 'Virtual', 'Virtual Life']",multiplayer,E
Blizzard Entertainment,"['Role-Playing', 'Massively Multiplayer Online', 'Massively Multiplayer', 'Fantasy']",multiplayer,T
Ubisoft Montpellier,"['Action', 'Platformer', '3D']",singleplayer,E
Blizzard Entertainment,"['Action RPG', 'Role-Playing']",multiplayer,M
SCE Japan Studio,"['Action Adventure', 'Fantasy']",singleplayer,T
Alphadream Corporation,"['Role-Playing', 'Console-style RPG']",multiplayer,E
SCEI,"['Action', 'Platformer', '3D']",singleplayer,E
Eidetic,"['Action', 'Shooter', 'Third-Person', 'Modern']",singleplayer,T
Alphadream Corporation,"['Role-Playing', 'Action RPG', 'Console-style RPG', 'Japanese-Style']",singleplayer,E
Ubisoft,"['Driving', 'Racing', 'Simulation', 'Motorcycle', 'Automobile', 'Street']",NaN,E10+
Rockstar North,"['Action Adventure', 'Modern', 'Open-World']",NaN,M
Insomniac Games,"['Action', 'Platformer', '3D']",singleplayer,T
Electronic Arts,"['Sports', 'Traditional', 'Basketball', 'Arcade']",multiplayer,E
Hitmaker,"['Sports', 'Traditional', 'Tennis']",NaN,E
Lionhead Studios,"['Strategy', 'Real-Time', 'Fantasy', 'General']",NaN,T
Nintendo,"['Action Adventure', 'Fantasy', 'Open-World']",singleplayer,E10+
Valve Software,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",singleplayer,T
Enhance Games,"['Puzzle', 'Stacking']",singleplayer,E
Nintendo,"['Action Adventure', 'Fantasy', 'Open-World']",multiplayer,E
Konami,"['Miscellaneous', 'Rhythm', 'Dancing']",multiplayer,E
Intelligent Systems,"['Strategy', 'Turn-Based', 'Modern', 'Tactics']",singleplayer,E
PlatinumGames,"['Role-Playing', 'Action RPG']",singleplayer,M
Naughty Dog,"['Action', 'Platformer', '3D']",singleplayer,E
Factor 5,"['Simulation', 'Sci-Fi', 'Small Spaceship']",singleplayer,T
increpare,"['Puzzle', 'Action', 'General']",singleplayer,NaN
EA Sports,"['Sports', 'Traditional', 'Football', 'Sim']",multiplayer,E
Ion Storm,"['Action Adventure', 'Sci-Fi', 'General']",multiplayer,M
Rare Ltd.,"['Action', 'Platformer', '3D']",multiplayer,E
Smilebit,"['Action', 'Shooter', 'Rail']",singleplayer,T
Valve Software,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",singleplayer,T
Valve Software,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",singleplayer,M
Starbreeze,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",singleplayer,M
Atlus Co.,"['Role-Playing', 'Console-style RPG']",singleplayer,M
Team Cherry,"['Action Adventure', 'General']",singleplayer,E10+
Rare Ltd.,"['Action', 'General']",singleplayer,E
Firaxis Games,"['Strategy', 'Turn-Based', 'Historic', '4X']",singleplayer,E
Visual Concepts,"['Sports', 'Traditional', 'Football', 'Sim']",NaN,E
Yuke's,"['Action', 'Fighting', 'Wrestling']",multiplayer,T
Ubisoft,"['Simulation', 'Submarine', 'Marine', 'Combat']",multiplayer,T
Visceral Games,"['Action', 'Shooter', 'Third-Person', 'Sci-Fi', 'Arcade']",multiplayer,M
Nintendo,"['Strategy', 'Real-Time', 'Fantasy']",multiplayer,E
Bizarre Creations,"['Action', 'Shooter', 'Static', ""Shoot-'Em-Up"", 'Top-Down']",multiplayer,E
Firaxis Games,"['Strategy', 'Turn-Based', 'Historic', '4X']",multiplayer,E10+
Nintendo,"['Action', 'Platformer', '3D']",singleplayer,E
Nintendo,"['Driving', 'Kart', 'Racing', 'Arcade', 'Automobile']",NaN,E
Lead Pursuit,"['Simulation', 'Flight', 'Modern Jet', 'Combat']",multiplayer,T
Nixxes Software,"['Action', 'Action Adventure', 'Shooter', 'Sci-Fi', 'General', 'First-Person']",singleplayer,M
Retro Studios,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",singleplayer,T
Microsoft Game Studios,"['Simulation', 'Flight', 'Civilian Plane', 'Civilian']",NaN,E
Rare Ltd.,"['Action', 'Platformer', '3D']",NaN,E
Naughty Dog,"['Action Adventure', 'Modern', 'Linear']",singleplayer,T
Blizzard Entertainment,"['Strategy', 'Real-Time', 'Fantasy', 'General']",multiplayer,T
Quest,"['Strategy', 'Turn-Based', 'Fantasy']",multiplayer,E
Blizzard Entertainment,"['Strategy', 'Real-Time', 'Sci-Fi', 'Command']",multiplayer,T
Naughty Dog,"['Action Adventure', 'General', 'Modern']",multiplayer,M
Zen Studios,"['Action', 'Miscellaneous', 'Parlor', 'Pinball']",singleplayer,E10+
LucasArts,"['Adventure', 'General', 'Point-and-Click']",singleplayer,E10+
Bizarre Creations,"['Driving', 'Racing', 'Simulation', 'GT / Street', 'Automobile']",multiplayer,E10+
Jupiter Corporation,"['Role-Playing', 'Action RPG']",singleplayer,T
Arkane Studios,"['Action Adventure', 'General']",singleplayer,M
NetherRealm Studios,"['Action', 'Fighting', '2D']",multiplayer,NaN
Larian Studios Games,"['Role-Playing', 'Action RPG', 'Western-Style']",multiplayer,M
4J Studios,"['Action Adventure', 'Adventure', '3D', 'Sandbox', 'First-Person', 'Fantasy']",multiplayer,E10+
Smilebit,"['Action', 'Platformer', '3D']",multiplayer,T
Volition Inc.,"['Action', 'Shooter', 'First-Person', 'Sci-Fi']",multiplayer,M
Bungie Software,"['Strategy', 'Real-Time', 'Fantasy', 'General']",multiplayer,M
Team Ninja,"['Action Adventure', 'Fantasy', 'General']",singleplayer,M
Intelligent Systems,"['Strategy', 'Turn-Based', 'Tactics']",multiplayer,T
Zen Studios,"['Action', 'Miscellaneous', 'Parlor', 'Pinball']",multiplayer,E
TOSE,"['Strategy', 'Turn-Based', 'Fantasy', 'Tactics']",singleplayer,T
Electronic Arts,"['Sports', 'Traditional', 'Team', 'Ice Hockey', 'Sim']",multiplayer,E10+
Nintendo,"['Action', 'Platformer', '2D']",NaN,E
Mercury Steam,"['Action Adventure', 'Open-World']",singleplayer,T
Bethesda Softworks,"['Role-Playing', 'First-Person']",singleplayer,T
Nintendo,"['Miscellaneous', 'Puzzle', 'General']",singleplayer,E
343 Industries,"['Action', 'Shooter', 'First-Person', 'Arcade']",multiplayer,NaN
Game Freak,"['Role-Playing', 'Console-style RPG', 'Trainer']",multiplayer,E
Gray Matter,"['Action', 'Shooter', 'First-Person', 'Historic', 'Arcade']",multiplayer,M
Insomniac Games,"['Action', 'Platformer', '3D']",singleplayer,NaN
EA Sports,"['Sports', 'Traditional', 'Basketball', 'Arcade']",multiplayer,E
Monolith Productions,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",multiplayer,M
Blendo Games,"['Adventure', 'General', '3D', 'First-Person']",NaN,NaN
Blizzard Entertainment,"['Card Battle', 'Strategy', 'Miscellaneous', 'Turn-Based']",multiplayer,T
2x2 Games,"['Strategy', 'Turn-Based', '4X']",singleplayer,NaN
Sucker Punch,"['Action Adventure', 'Open-World']",NaN,M
Rockstar North,"['Action Adventure', 'Modern', 'Open-World']",singleplayer,M
Creative Assembly,"['Strategy', 'Real-Time', 'Historic', 'General']",multiplayer,T
Nintendo,"['Action', 'Platformer', '2D']",multiplayer,E
Sucker Punch,"['Action', 'Platformer', '3D']",singleplayer,E
Vicarious Visions,"['Action', 'Shooter', 'First-Person', 'Sci-Fi']",multiplayer,M
Namco Bandai Games,"['Action', 'Fighting', '3D']",multiplayer,T
Davey Wreden,"['Action', 'Adventure', 'General', '3D', 'First-Person', 'Modern']",singleplayer,NaN
Mega Crit Games,"['Strategy', 'Turn-Based', 'Card Battle']",singleplayer,E10+
DrinkBox Studios,"['Action', 'Platformer', '2D']",singleplayer,NaN
Valve Software,"['Action', 'Shooter', 'First-Person', 'Tactical', 'Modern']",multiplayer,M
Intelligent Systems,"['Strategy', 'Turn-Based', 'Fantasy']",multiplayer,E
Intelligent Systems,"['Strategy', 'Turn-Based', 'Tactics']",NaN,T
EA Canada,"['Driving', 'Racing', 'Arcade']",multiplayer,E
Iron Galaxy Studios,"['Action', 'Fighting', '2D']",multiplayer,T
Level 5,"['Miscellaneous', 'Puzzle', 'General']",singleplayer,E10+
Namco,"['Action', 'General']",multiplayer,E
Sports Interactive,"['Sports', 'Traditional', 'Team', 'Soccer', 'Management']",NaN,E
Harmonix Music Systems,"['Action', 'Miscellaneous', 'Rhythm', 'Dancing']",NaN,T
Sucker Punch,"['Action', 'Platformer', '3D']",singleplayer,E
1C,"['Simulation', 'Flight', 'WWII', 'Combat']",multiplayer,T
Codemasters,"['Driving', 'Racing', 'Simulation', 'Rally / Offroad', 'Automobile']",NaN,T
4J Studios,"['Fantasy', 'Action Adventure', 'Adventure', '3D', 'Sandbox', 'First-Person']",multiplayer,E10+
Red Candle Games,"['Action Adventure', 'Survival']",singleplayer,NaN
Nintendo,"['Action Adventure', 'Fantasy']",multiplayer,E
Hello Games,"['Driving', 'Racing', 'Arcade', 'Automobile']",NaN,E
Namco,"['Role-Playing', 'Console-style RPG']",singleplayer,T
Digital Extremes,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",multiplayer,M
Triumph Studios,"['Strategy', 'Turn-Based', 'Fantasy', 'General']",multiplayer,T
Amusement Vision,"['Driving', 'Racing', 'Arcade']",NaN,E
Microsoft Game Studios,"['Sports', 'Traditional', 'Individual', 'Golf', 'Sim']",multiplayer,E
Sony Online Entertainment,"['Role-Playing', 'Massively Multiplayer Online', 'Massively Multiplayer', 'Fantasy']",multiplayer,T
LucasArts,"['Adventure', 'General']",NaN,NaN
Namco,"['Action', 'General']",multiplayer,E
Turbine Inc.,"['Role-Playing', 'Massively Multiplayer Online', 'Massively Multiplayer', 'Fantasy']",multiplayer,T
Rockstar Leeds,"['Action Adventure', 'Modern', 'Open-World']",singleplayer,M
Daniel Mullins Games,"['Puzzle', 'General']",singleplayer,NaN
Relic,"['Strategy', 'Real-Time', 'Sci-Fi', 'General']",multiplayer,M
Sony Interactive Entertainment,"['Sports', 'Team', 'Baseball', 'Sim']",multiplayer,E
DrinkBox Studios,"['Action', 'Platformer', '2D']",NaN,E10+
Rockstar Games,"['Action', 'Shooter', 'Third-Person', 'Modern', 'Arcade']",multiplayer,M
EA Black Box,"['Sports', 'Alternative', 'Individual', 'Skateboarding', 'Skate / Skateboard']",multiplayer,T
EA Mythic,"['Role-Playing', 'Massively Multiplayer Online', 'Massively Multiplayer', 'Fantasy']",multiplayer,T
Electronic Arts,"['Sports', 'Traditional', 'Team', 'Ice Hockey', 'Sim']",multiplayer,E10+
EA Redwood Shores,"['Action', 'Shooter', 'Third-Person', 'Sci-Fi', 'Arcade']",singleplayer,M
Intelligent Systems,"['Strategy', 'Turn-Based', 'Modern', 'Tactics']",singleplayer,E10+
Bethesda Softworks,"['Role-Playing', 'First-Person', 'Western-Style']",singleplayer,M
Square Enix,"['Role-Playing', 'Japanese-Style']",singleplayer,E10+
Playground Games,"['Driving', 'Racing', 'Simulation', 'GT / Street', 'Automobile']",multiplayer,NaN
Shiny Shoe,"['Strategy', 'Turn-Based', 'Card Battle']",multiplayer,NaN
Brace Yourself Games,"['Role-Playing', 'General', 'Action RPG']",singleplayer,T
Delphine Software International,"['Driving', 'Racing', 'Motorcycle', 'Street']",NaN,E
Westwood Studios,"['Strategy', 'Real-Time', 'Sci-Fi', 'Command']",multiplayer,T
Paradox Development Studio,"['Strategy', 'General']",multiplayer,E
1C: Maddox Games,"['Simulation', 'Flight', 'WWII', 'Combat']",singleplayer,T
Next Level Games,"['Action Adventure', 'General']",multiplayer,E
Harmonix Music Systems,"['Dancing', 'Action', 'Miscellaneous', 'Rhythm']",NaN,T
Sidhe Interactive,"['Action', 'General']",NaN,E
Next Level Games,"['Action Adventure', 'Fantasy', 'General']",multiplayer,E
BudCat,"['Action', 'Platformer', '3D']",singleplayer,T
Square Enix,"['Role-Playing', 'Japanese-Style']",singleplayer,T
Nd Cube,"['Driving', 'Racing', 'Futuristic']",multiplayer,E
Bungie,"['Action', 'Shooter', 'First-Person', 'Arcade']",NaN,T
Blizzard Entertainment,"['Action', 'Strategy', 'Real-Time', 'General', 'MOBA']",multiplayer,T
Edmund McMillen,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",singleplayer,M
Bandai Namco Games,"['Fighting', '3D', '2D', 'Action']",multiplayer,E10+
Creative Assembly,"['Strategy', 'Real-Time', 'Historic', 'General']",multiplayer,T
Rocky Studio,"['Action', 'Rhythm', 'Music']",multiplayer,T
Housemarque,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Horizontal']",NaN,E10+
GREZZO,"['Action Adventure', 'Fantasy', 'General']",NaN,E10+
Mindware,"['Miscellaneous', 'Puzzle', 'Action']",singleplayer,E
PopCap,"['Miscellaneous', 'Puzzle', 'Action']",NaN,E
Yuke's,"['Action', 'Fighting', 'Wrestling']",multiplayer,T
Clap Hanz,"['Sports', 'Traditional', 'Golf', 'Arcade']",multiplayer,E
Deep Red,"['Strategy', 'Tycoon', 'Management', 'Business / Tycoon']",multiplayer,E
Telltale Games,"['Adventure', 'General', '3D', 'Point-and-Click', 'Third-Person']",singleplayer,T
Amanita Design,"['Adventure', 'General', 'Third-Person', 'Point-and-Click', 'Sci-Fi']",singleplayer,NaN
Team Ninja,"['Role-Playing', 'Action RPG']",multiplayer,M
Mode 7 Games,"['Strategy', 'Turn-Based', 'General', 'Modern', 'Tactics']",multiplayer,NaN
Snowblind Studios,"['Role-Playing', 'Action RPG']",multiplayer,T
Saber Interactive,"['Role-Playing', 'Action RPG']",singleplayer,M
Digital Anvil,"['Simulation', 'Sci-Fi', 'Space', 'Small Spaceship', 'Combat']",multiplayer,T
PlatinumGames,"['Miscellaneous', 'Compilation']",singleplayer,M
Ruud Koorevaar,"['Action', 'General']",NaN,NaN
EA Sports,"['Sports', 'Traditional', 'Team', 'Basketball', 'Arcade']",NaN,E
Stardock,"['Strategy', 'Turn-Based', '4X']",NaN,NaN
TOSE,"['Role-Playing', 'Console-style RPG']",singleplayer,E10+
Epic Games,"['Action', 'General', 'Shooter', 'Light Gun']",singleplayer,T
Housemarque,"['Action', 'General', 'Shooter', 'Static', ""Shoot-'Em-Up"", 'Top-Down']",multiplayer,E
Intelligent Systems,"['Action', 'Role-Playing', 'Platformer', 'Action RPG', '3D']",singleplayer,E
